,Rank,School,Conference,Record,Road,Neutral,Home,Non Div I
0,1,Hawaii,Big West,27-5,3-5,6-0,18-0,0-0
1,2,Long Beach St.,Big West,21-6,5-4,1-1,15-1,0-0
2,3,Penn St.,EIVA,23-4,10-2,0-1,13-1,0-0
3,4,Ball St.,MIVA,23-4,9-2,0-1,14-1,0-0
4,5,UCLA,MPSF,22-5,10-2,0-1,12-2,0-0
5,6,Southern California,MPSF,20-7,7-4,2-2,11-1,2-0
6,7,Loyola Chicago,MIVA,18-9,7-4,0-0,11-5,0-0
7,8,UC Santa Barbara,Big West,17-9,7-5,1-0,9-4,2-0
8,9,Lincoln Memorial,DI Independent,19-7,7-6,2-1,10-0,1-0
9,10,Lewis,MIVA,15-12,4-8,0-0,11-4,1-0
10,11,Ohio St.,MIVA,13-14,3-10,1-0,9-4,0-0
11,12,Pepperdine,MPSF,19-10,4-7,3-0,12-3,0-0
12,13,Princeton,EIVA,15-13,5-8,2-1,8-4,0-0
13,14,McKendree,MIVA,14-11,4-7,1-0,9-4,0-0
14,15,Grand Canyon,MPSF,14-12,5-6,0-1,9-5,2-0
15,16,Purdue Fort Wayne,MIVA,17-13,11-7,0-0,6-6,0-0
16,17,NJIT,EIVA,17-11,3-8,3-1,11-2,0-0
17,18,North Greenville,Conference Carolinas,20-6,9-4,2-1,9-1,1-0
18,19,Mount Olive,Conference Carolinas,16-7,6-4,0-0,10-3,0-0
19,20,UC San Diego,Big West,12-11,6-4,0-1,6-6,1-0
20,21,King (TN),Conference Carolinas,17-12,8-6,0-1,9-5,0-0
21,22,Harvard,EIVA,12-13,5-7,0-1,7-5,0-0
22,23,BYU,MPSF,8-17,1-9,0-1,7-7,0-0
23,24,Saint Francis (PA),EIVA,15-13,5-9,0-1,10-3,0-0
24,25,UC Irvine,Big West,11-16,2-9,2-1,7-6,0-0
25,26,George Mason,EIVA,13-15,7-10,0-1,6-4,0-0
26,27,Queens (NC),DI Independent,18-12,7-6,3-1,8-5,0-0
27,28,Stanford,MPSF,11-14,0-10,3-2,8-2,3-0
28,29,Lindenwood,MIVA,8-14,1-9,0-1,7-4,0-0
29,30,Charleston (WV),EIVA,9-14,2-7,1-0,6-7,0-0
30,31,CSUN,Big West,2-16,1-9,0-1,1-6,4-0
31,32,Emmanuel (GA),Conference Carolinas,15-13,5-7,0-1,10-5,0-1
32,33,Limestone,DI Independent,16-11,6-5,2-3,8-3,2-0
33,34,Daemen,DI Independent,10-6,4-5,1-0,5-1,6-0
34,35,CUI,MPSF,4-16,1-8,0-1,3-7,6-0
35,36,Belmont Abbey,Conference Carolinas,11-16,2-11,1-0,8-5,4-0
36,37,St. Francis Brooklyn,EIVA,10-14,5-8,0-0,5-6,0-1
37,38,Maryville (MO),DI Independent,8-6,8-6,0-0,0-0,11-5
38,39,Quincy,MIVA,1-16,0-8,1-1,0-7,3-3
39,40,Erskine,Conference Carolinas,13-17,3-14,0-0,10-3,0-1
40,41,Tusculum,DI Independent,7-17,2-10,2-1,3-6,1-3
41,42,Sacred Heart,EIVA,7-16,4-7,0-0,3-9,3-1
42,43,LIU,DI Independent,11-14,6-11,0-1,5-2,1-2
43,44,Lees-McRae,Conference Carolinas,7-14,1-9,0-0,6-5,1-1
44,45,Central St. (OH),SIAC,15-10,5-7,5-0,5-3,0-3
45,46,Barton,Conference Carolinas,0-20,0-10,0-0,0-10,0-0
46,47,Fairleigh Dickinson,DI Independent,7-16,3-7,1-5,3-4,0-0
47,48,D'Youville,DI Independent,4-11,1-5,1-2,2-4,5-2
48,49,Fort Valley St.,SIAC,8-14,3-7,2-3,3-4,0-1
49,50,Alderson Broaddus,DI Independent,1-17,1-5,0-4,0-8,5-6
50,51,Benedict,SIAC,9-14,2-6,3-2,4-6,0-1
51,52,American Int'l,DI Independent,0-9,0-5,0-0,0-4,2-8
52,53,Kentucky St.,SIAC,2-13,1-4,0-2,1-7,1-3
53,54,Morehouse,SIAC,0-15,0-5,0-2,0-8,0-4
